ID,Name,BeerStylesID,Number,Source2,YeastID,ABV,IBU,OG,FG,EBC,HasAdjucts,MashTemp,MashTime,Fermentation,Description,Tips
1,Punk IPA 2007,68,1,DiyDog,55,6,60,1056,1010,17,N,65,75,19,"Our flagship beer that kick started
the craft beer revolution. This is
James and Martin's original take on
an American IPA, subverted with
punchy New Zealand hops.
Layered with new world hops to
create an all-out riot of grapefruit,
pineapple and lychee before a spiky,
mouth-puckering bitter finish.","While it may surprise you, this version of
Punk IPA isn't dry hopped but still packs
a punch! To make the best of the aroma
hops make sure they are fully submerged
and add them just before knock out for an
intense hop hit."
2,Punk IPA 2010,68,2,DiyDog,55,5.6,40,1053,1011,15,N,66,75,19,"Punk IPA. Amplified. In 2010
we finally got our paws on the
equipment we needed to dry hop
our beers. We focused all our energy
on dry hopping, amping up the
aroma and flavour of our flagship
beer to create a relentless explosion
of tropical fruits, and adding a hint
of Caramalt to balance out the
insane amount of hops.","To get the best possible profile from the
dry hops we recommend dry hopping post
fermentation for 5 days. Dry hops should
be added at cellar temperature. We find
166,AB:17,65,167,DiyDog,61,10.7,100,1105,1025,300,Y,65,75,21,NULL,NULL
167,KONNICHIWA KITSUNE,106,168,DiyDog,61,8.2,70,1045,1012,30,N,65,75,20,NULL,NULL
168,PROTOTYPE CHALLENGE – ALL DAY LONG,61,169,DiyDog,55,2.7,30,1033,1012,42,N,65,30,22,NULL,NULL
169,PROTOTYPE CHALLENGE – HOP FICTION,61,170,DiyDog,55,5.2,40,1048,1010,13,N,65,75,19,NULL,NULL
170,PROTOTYPE CHALLENGE – VAGABOND PALE ALE,61,171,DiyDog,55,4.5,55,1045,1011,20,N,65,75,19,NULL,NULL
171,BLACK EYED KING IMP – VIETNAMESE COFFEE EDITION,67,172,DiyDog,61,12.7,85,1113,1038,250,Y,65,50,18,NULL,NULL
172,SHAREHOLDER BREW – BOUNTY HUNTER,52,173,DiyDog,55,6.5,35,1068,1020,250,Y,65,75,19,NULL,NULL
173,RESTORATIVE BEVERAGE FOR INVALIDS AND CONVALESCENTS,75,174,DiyDog,61,8.5,100,1068,1003,15,N,63,90,21,NULL,NULL
174,STEREO WOLF STOUT,66,175,DiyDog,55,5.2,55,1052,1014,200,N,65,75,19,NULL,NULL
175,B-SIDES – SUNSHINE ON RYE,73,176,DiyDog,55,7.2,130,1065,1010,14,Y,999,999,20,NULL,NULL
176,*B-SIDES – BOWMAN’S BEARD (2 Yeasts),59,177,DiyDog,55,18.3,50,1067,1011,15,N,65,90,19,NULL,NULL
177,HELLO MY NAME IS LITTLE INGRID,68,178,DiyDog,55,4.4,35,1045,1012,30,Y,65,75,19,NULL,NULL
178,IPA IS DEAD – CHINOOK,68,179,DiyDog,55,7.2,100,1064,1010,12,N,65,75,19,NULL,NULL
179,IPA IS DEAD – ELLA,68,180,DiyDog,55,7.2,100,1064,1010,12,N,65,75,19,NULL,NULL
180,IPA IS DEAD – MANDARINA BAVARIA,68,181,DiyDog,55,7.2,100,1064,1010,12,N,65,75,19,NULL,NULL
181,IPA IS DEAD – PIONEER,68,182,DiyDog,55,7.2,100,1064,1010,12,N,65,75,19,NULL,NULL
182,BORN TO DIE,68,183,DiyDog,61,8.5,85,1072,1007,15,N,65,75,18,NULL,NULL
183,B-SIDES – MELON AND CUCUMBER IPA,68,184,DiyDog,55,6,50,1050,1010,8,Y,999,999,20,NULL,NULL
184,B-SIDES – SORACHI BITTER,36,185,DiyDog,55,6.3,130,1060,1010,14,Y,999,999,20,NULL,NULL
185,B-SIDES – TRUFFLE AND CHOCOLATE STOUT,66,186,DiyDog,55,5.6,30,1058,1015,54,Y,999,999,19,NULL,NULL
186,B-SIDES – HOPPY SAISON,89,187,DiyDog,74,6.4,40,1059,1010,8,N,999,999,20,NULL,NULL
187,B-SIDES – WHISKY SOUR (Kettle Soured),102,188,DiyDog,61,7,20,1081,1021,12,N,999,999,19,NULL,NULL
188,B-SIDES – SPICED CHERRY SOUR,107,189,DiyDog,55,6.5,20,1060,1010,0,Y,999,999,20,NULL,NULL
189,B-SIDES – DEAF MERMAID,61,190,DiyDog,55,5.2,65,1048,1010,16,N,65,90,19,NULL,NULL
190,#MASHTAG 2015,77,191,DiyDog,61,10,85,1098,1020,130,Y,65,75,21,NULL,NULL
191,DOG D,67,192,DiyDog,61,16.1,85,1125,1020,400,Y,65,90,21,NULL,NULL
192,HINTERLAND,76,193,DiyDog,61,9,85,1094,1025,400,Y,65,75,21,NULL,NULL
193,PEACH THERAPY,93,194,DiyDog,54,9,30,1071,1000,12,Y,999,999,20,NULL,NULL
194,HELLO MY NAME IS HOLY MOOSE,68,195,DiyDog,55,5.5,35,1053,1011,25,Y,65,75,17,NULL,NULL
195,LIZARD BRIDE,102,196,DiyDog,55,5.7,35,1053,1009,25,Y,65,75,17,NULL,NULL
196,B-SIDES – MANGO GOSE,102,197,DiyDog,55,6.4,40,1057,1000,10,Y,999,999,20,NULL,NULL
197,CANDY KAISER,23,198,DiyDog,55,5.2,50,1049,1009,45,N,65,75,14,NULL,NULL
198,PUMPKIN KING,61,199,DiyDog,61,5.4,20,1055,1014,30,Y,65,75,19,NULL,NULL
199,B-SIDES – BABY SAISON,89,200,DiyDog,52,3.6,9,1032,1004,2,N,999,999,21,NULL,NULL
200,B-SIDES – MORAG'S MOJITO,106,201,DiyDog,55,6.7,9,1032,1004,15,Y,999,999,19,NULL,NULL
201,B-SIDES – ORANGE BLOSSOM,4,202,DiyDog,55,3.8,40,1063,1010,6,Y,999,999,20,NULL,NULL
202,DOODLEBUG,61,203,DiyDog,55,2.5,35,1027,1008,10,N,65,75,19,NULL,NULL
203,NO LABEL,16,204,DiyDog,55,4.5,25,1043,1009,10,N,65,75,15,NULL,NULL
204,B-SIDES – RHUBARB SAISON,89,205,DiyDog,52,6.4,25,1052,1008,10,Y,999,999,20,NULL,NULL
205,PROTOTYPE CHALLENGE – INDIA SESSION LAGER,5,206,DiyDog,49,4.4,35,1040,1007,12,N,65,75,10,NULL,NULL
