ID,RecipeID,Weight,HopID,StepID,HopTypeID
759,107,37.5,113,1,1
760,108,125,92,4,1
761,108,37.5,92,3,1
762,108,20,92,2,1
763,108,2.5,92,1,1
764,109,12.5,3,3,1
765,109,6.25,3,1,1
766,109,12.5,13,3,1
767,109,6.25,13,1,1
768,109,7.5,17,3,1
769,109,5,17,2,1
770,109,7.5,19,3,1
771,109,5,19,2,1
772,111,62.5,60,1,1
773,111,25,66,3,1
774,112,12.5,10,3,1
775,112,12.5,18,3,1
776,112,12.5,64,1,1
777,113,18.75,87,3,1
778,113,6.25,87,2,1
779,113,5,39,2,1
780,113,7.5,39,1,1
781,113,18.75,57,3,1
782,113,6.25,57,2,1
783,114,62.5,17,3,1
784,114,5,17,2,1
785,114,100,19,4,1
786,114,62.5,19,3,1
787,114,5,19,2,1
788,114,20,19,1,1
789,116,10,31,3,1
790,116,25,31,1,1
791,116,10,33,3,1
792,116,25,33,1,1
796,117,5,3,3,1
797,117,6,3,2,1
798,117,5,13,3,1
799,117,6,13,2,1
800,117,12.5,39,1,1
801,117,10,44,1,1
804,117,5,66,3,1
805,118,25,13,1,1
806,118,50,19,1,1
809,118,25,33,1,1
810,118,25,33,6,1
811,119,12.5,3,3,1
812,119,5,3,2,1
813,119,2.5,3,1,1
816,119,20,45,3,1
817,119,5,45,2,1
819,120,100,44,4,1
820,120,20,44,3,1
821,120,10,44,2,1
822,120,20,44,1,1
823,120,87.5,45,4,1
824,120,20,45,3,1
825,120,10,45,2,1
826,120,20,45,1,1
827,121,15,18,4,1
829,121,15,82,4,1
830,121,2.5,82,2,1
832,121,5.5,44,1,1
833,121,2.5,97,2,1
834,121,20,45,4,1
835,121,7,90,1,1
836,122,12.5,12,3,1
837,122,12.5,12,2,1
841,122,25,44,1,1
844,122,12.5,57,3,1
845,122,12.5,57,2,1
846,123,12.5,91,3,1
847,123,12.5,91,2,1
848,123,25,91,1,1
852,123,25,97,3,1
853,123,25,97,2,1
854,125,10,31,1,1
855,125,75,57,1,1
857,126,187.5,43,4,1
858,126,37.5,43,3,1
859,126,37.5,43,2,1
860,126,12.5,43,1,1
861,127,125,13,4,1
862,127,25,13,3,1
863,127,25,13,2,1
864,127,125,19,4,1
865,127,25,19,3,1
866,127,25,19,2,1
867,127,50,19,1,1
868,127,125,20,4,1
869,127,25,20,3,1
870,127,25,20,2,1
874,128,25,39,1,1
875,133,17.5,3,3,1
876,133,10,3,2,1
877,133,5,3,1,1
878,133,17.5,17,3,1
879,133,10,17,2,1
880,133,5,17,1,1
881,134,250,64,4,1
882,134,37.5,64,3,1
883,134,25,64,2,1
884,134,2.5,64,1,1
885,139,125,3,4,1
886,139,37.5,3,3,1
887,139,25,3,1,1
891,139,37.5,59,3,1
892,139,25,59,1,1
894,140,36,82,1,1
896,140,37.5,66,3,1
897,141,62.5,2,4,1
898,141,18.5,2,3,1
899,141,18.5,2,2,1
900,141,25,39,1,1
901,141,62.5,43,4,1
902,141,12.5,43,3,1
903,141,12.5,43,2,1
904,141,62.5,59,4,1
905,141,18.5,59,2,1
907,142,187.5,17,4,1
908,142,112.5,20,4,1
909,142,37.5,20,3,1
910,142,37.5,20,2,1
911,142,4,20,1,1
913,142,200,43,4,1
917,144,12.5,33,2,1
919,144,12.5,57,2,1
920,144,15,92,1,1
921,145,250,22,4,1
922,145,37.5,22,3,1
923,145,25,22,2,1
924,145,15,22,1,1
925,146,250,93,4,1
926,146,37.5,93,3,1
927,146,25,93,2,1
928,146,2.5,93,1,1
929,147,250,114,4,1
930,147,37.5,114,3,1
931,147,25,114,2,1
932,147,37.5,114,1,1
933,148,12.5,64,1,1
